=> Trial Start: ['dir_sim', 'recency', 'betweenness']
=> Epoch 077 | Train: 0.7502 (Easy: 0.4358, Hard: 1.0682) | Val: 0.6595 (Easy: 0.3784, Hard: 1.0096) | LR: 0.001000
=> Epoch 078 | Train: 0.7565 (Easy: 0.4449, Hard: 1.0723) | Val: 0.6648 (Easy: 0.3800, Hard: 1.0209) | LR: 0.001000
=> Epoch 079 | Train: 0.7496 (Easy: 0.4396, Hard: 1.0696) | Val: 0.6606 (Easy: 0.3823, Hard: 1.0101) | LR: 0.001000
=> Epoch 080 | Train: 0.7532 (Easy: 0.4407, Hard: 1.0569) | Val: 0.6598 (Easy: 0.3801, Hard: 1.0100) | LR: 0.001000
=> Epoch 081 | Train: 0.7576 (Easy: 0.4483, Hard: 1.0626) | Val: 0.6539 (Easy: 0.3787, Hard: 1.0012) | LR: 0.001000
=> Epoch 082 | Train: 0.7376 (Easy: 0.4440, Hard: 1.0313) | Val: 0.6518 (Easy: 0.3853, Hard: 0.9822) | LR: 0.001000
=> Epoch 083 | Train: 0.7538 (Easy: 0.4432, Hard: 1.0581) | Val: 0.6599 (Easy: 0.3744, Hard: 1.0160) | LR: 0.001000
=> Epoch 084 | Train: 0.7462 (Easy: 0.4415, Hard: 1.0515) | Val: 0.6527 (Easy: 0.3803, Hard: 0.9913) | LR: 0.001000
=> Epoch 085 | Train: 0.7548 (Easy: 0.4445, Hard: 1.0629) | Val: 0.6471 (Easy: 0.3801, Hard: 0.9789) | LR: 0.001000
=> Epoch 086 | Train: 0.7511 (Easy: 0.4430, Hard: 1.0581) | Val: 0.6592 (Easy: 0.3719, Hard: 1.0147) | LR: 0.001000
=> Epoch 087 | Train: 0.7526 (Easy: 0.4365, Hard: 1.0611) | Val: 0.6563 (Easy: 0.3814, Hard: 0.9990) | LR: 0.001000
=> Epoch 088 | Train: 0.7466 (Easy: 0.4458, Hard: 1.0495) | Val: 0.6529 (Easy: 0.3737, Hard: 0.9992) | LR: 0.001000
