=> Trial Start: ['dir_sim', 'recency', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_outside']
=> Epoch 115 | Train: 0.7382 (Easy: 0.4452, Hard: 1.0261) | Val: 0.6978 (Easy: 0.4334, Hard: 0.9678) | LR: 0.000250
=> Epoch 116 | Train: 0.7473 (Easy: 0.4509, Hard: 1.0388) | Val: 0.6978 (Easy: 0.4324, Hard: 0.9679) | LR: 0.000250
=> Epoch 117 | Train: 0.7457 (Easy: 0.4456, Hard: 1.0426) | Val: 0.6965 (Easy: 0.4324, Hard: 0.9638) | LR: 0.000250
=> Epoch 118 | Train: 0.7599 (Easy: 0.4578, Hard: 1.0630) | Val: 0.6962 (Easy: 0.4325, Hard: 0.9629) | LR: 0.000250
=> Epoch 119 | Train: 0.7477 (Easy: 0.4523, Hard: 1.0330) | Val: 0.6942 (Easy: 0.4347, Hard: 0.9586) | LR: 0.000250
=> Epoch 120 | Train: 0.7520 (Easy: 0.4497, Hard: 1.0519) | Val: 0.6954 (Easy: 0.4329, Hard: 0.9612) | LR: 0.000250
=> Epoch 121 | Train: 0.7446 (Easy: 0.4417, Hard: 1.0409) | Val: 0.6971 (Easy: 0.4326, Hard: 0.9652) | LR: 0.000250
=> Epoch 122 | Train: 0.7567 (Easy: 0.4485, Hard: 1.0616) | Val: 0.6961 (Easy: 0.4343, Hard: 0.9630) | LR: 0.000250
=> Epoch 123 | Train: 0.7445 (Easy: 0.4462, Hard: 1.0396) | Val: 0.6952 (Easy: 0.4332, Hard: 0.9613) | LR: 0.000250
=> Epoch 124 | Train: 0.7441 (Easy: 0.4450, Hard: 1.0417) | Val: 0.6964 (Easy: 0.4325, Hard: 0.9647) | LR: 0.000250
=> Epoch 125 | Train: 0.7503 (Easy: 0.4492, Hard: 1.0436) | Val: 0.6959 (Easy: 0.4334, Hard: 0.9625) | LR: 0.000250
=> Epoch 126 | Train: 0.7598 (Easy: 0.4602, Hard: 1.0590) | Val: 0.6970 (Easy: 0.4335, Hard: 0.9636) | LR: 0.000250
=> Epoch 127 | Train: 0.7484 (Easy: 0.4494, Hard: 1.0433) | Val: 0.6957 (Easy: 0.4316, Hard: 0.9638) | LR: 0.000250
=> Epoch 128 | Train: 0.7516 (Easy: 0.4480, Hard: 1.0565) | Val: 0.6944 (Easy: 0.4354, Hard: 0.9594) | LR: 0.000250
=> Epoch 129 | Train: 0.7597 (Easy: 0.4534, Hard: 1.0572) | Val: 0.6929 (Easy: 0.4325, Hard: 0.9573) | LR: 0.000250
=> Epoch 130 | Train: 0.7424 (Easy: 0.4331, Hard: 1.0432) | Val: 0.6946 (Easy: 0.4334, Hard: 0.9599) | LR: 0.000250
=> Epoch 131 | Train: 0.7524 (Easy: 0.4464, Hard: 1.0593) | Val: 0.6945 (Easy: 0.4345, Hard: 0.9575) | LR: 0.000250
=> Epoch 132 | Train: 0.7464 (Easy: 0.4482, Hard: 1.0358) | Val: 0.6953 (Easy: 0.4342, Hard: 0.9597) | LR: 0.000250
=> Epoch 133 | Train: 0.7510 (Easy: 0.4445, Hard: 1.0478) | Val: 0.6931 (Easy: 0.4307, Hard: 0.9586) | LR: 0.000250
=> Epoch 134 | Train: 0.7393 (Easy: 0.4442, Hard: 1.0265) | Val: 0.6929 (Easy: 0.4296, Hard: 0.9590) | LR: 0.000250
=> Epoch 135 | Train: 0.7480 (Easy: 0.4407, Hard: 1.0519) | Val: 0.6910 (Easy: 0.4298, Hard: 0.9563) | LR: 0.000250
=> Epoch 136 | Train: 0.7418 (Easy: 0.4504, Hard: 1.0252) | Val: 0.6914 (Easy: 0.4313, Hard: 0.9562) | LR: 0.000250
=> Epoch 137 | Train: 0.7470 (Easy: 0.4513, Hard: 1.0332) | Val: 0.6923 (Easy: 0.4311, Hard: 0.9575) | LR: 0.000250
=> Epoch 138 | Train: 0.7402 (Easy: 0.4453, Hard: 1.0348) | Val: 0.6913 (Easy: 0.4302, Hard: 0.9566) | LR: 0.000250
=> Epoch 139 | Train: 0.7464 (Easy: 0.4474, Hard: 1.0441) | Val: 0.6927 (Easy: 0.4319, Hard: 0.9557) | LR: 0.000250
=> Epoch 140 | Train: 0.7511 (Easy: 0.4433, Hard: 1.0518) | Val: 0.6929 (Easy: 0.4310, Hard: 0.9591) | LR: 0.000250
=> Epoch 141 | Train: 0.7503 (Easy: 0.4592, Hard: 1.0372) | Val: 0.6941 (Easy: 0.4317, Hard: 0.9603) | LR: 0.000250
=> Epoch 142 | Train: 0.7409 (Easy: 0.4412, Hard: 1.0295) | Val: 0.6938 (Easy: 0.4321, Hard: 0.9589) | LR: 0.000250
=> Epoch 143 | Train: 0.7473 (Easy: 0.4471, Hard: 1.0375) | Val: 0.6940 (Easy: 0.4321, Hard: 0.9590) | LR: 0.000250
=> Epoch 144 | Train: 0.7409 (Easy: 0.4427, Hard: 1.0339) | Val: 0.6940 (Easy: 0.4318, Hard: 0.9595) | LR: 0.000250
=> Epoch 145 | Train: 0.7413 (Easy: 0.4445, Hard: 1.0326) | Val: 0.6946 (Easy: 0.4348, Hard: 0.9583) | LR: 0.000250
=> LR reduced: 0.000250 -> 0.000125
=> Epoch 146 | Train: 0.7435 (Easy: 0.4459, Hard: 1.0306) | Val: 0.6932 (Easy: 0.4332, Hard: 0.9581) | LR: 0.000125
=> Epoch 147 | Train: 0.7437 (Easy: 0.4535, Hard: 1.0313) | Val: 0.6928 (Easy: 0.4332, Hard: 0.9576) | LR: 0.000125
=> Epoch 148 | Train: 0.7462 (Easy: 0.4509, Hard: 1.0350) | Val: 0.6942 (Easy: 0.4347, Hard: 0.9581) | LR: 0.000125
=> Epoch 149 | Train: 0.7398 (Easy: 0.4540, Hard: 1.0287) | Val: 0.6933 (Easy: 0.4342, Hard: 0.9564) | LR: 0.000125
=> Epoch 150 | Train: 0.7381 (Easy: 0.4459, Hard: 1.0259) | Val: 0.6932 (Easy: 0.4339, Hard: 0.9564) | LR: 0.000125
=> Early stopping triggered
=> Final Test Accuracy: 0.6853 | Easy: 0.7933 | Hard: 0.5152

=> Split: 1 | Features: ['dir_sim', 'recency', 'is_outside']
=> Epoch 000 | Train: 1.1864 (Easy: 0.8438, Hard: 1.5285) | Val: 0.9045 (Easy: 0.5102, Hard: 1.4014) | LR: 0.001000
=> Epoch 001 | Train: 1.0365 (Easy: 0.5686, Hard: 1.5161) | Val: 0.8741 (Easy: 0.4976, Hard: 1.3533) | LR: 0.001000
=> Epoch 002 | Train: 1.0022 (Easy: 0.5561, Hard: 1.4565) | Val: 0.8570 (Easy: 0.4812, Hard: 1.3433) | LR: 0.001000
=> Epoch 003 | Train: 0.9917 (Easy: 0.5570, Hard: 1.4363) | Val: 0.8480 (Easy: 0.4873, Hard: 1.3201) | LR: 0.001000
=> Epoch 004 | Train: 0.9838 (Easy: 0.5470, Hard: 1.4349) | Val: 0.8393 (Easy: 0.4866, Hard: 1.3023) | LR: 0.001000
=> Epoch 005 | Train: 0.9697 (Easy: 0.5408, Hard: 1.4180) | Val: 0.8343 (Easy: 0.4986, Hard: 1.2786) | LR: 0.001000
=> Epoch 006 | Train: 0.9673 (Easy: 0.5387, Hard: 1.4112) | Val: 0.8273 (Easy: 0.5036, Hard: 1.2567) | LR: 0.001000
=> Epoch 007 | Train: 0.9506 (Easy: 0.5243, Hard: 1.3931) | Val: 0.8153 (Easy: 0.4895, Hard: 1.2495) | LR: 0.001000
=> Epoch 008 | Train: 0.9388 (Easy: 0.5248, Hard: 1.3695) | Val: 0.8061 (Easy: 0.4878, Hard: 1.2306) | LR: 0.001000
=> Epoch 009 | Train: 0.9437 (Easy: 0.5085, Hard: 1.3935) | Val: 0.8020 (Easy: 0.4921, Hard: 1.2141) | LR: 0.001000
=> Epoch 010 | Train: 0.9270 (Easy: 0.5000, Hard: 1.3737) | Val: 0.7844 (Easy: 0.4719, Hard: 1.2007) | LR: 0.001000
=> Epoch 011 | Train: 0.9171 (Easy: 0.4976, Hard: 1.3555) | Val: 0.7704 (Easy: 0.4560, Hard: 1.1879) | LR: 0.001000
