=> Trial Start: ['dir_sim', 'recency', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 004 | Train: 1.0128 (Easy: 0.5487, Hard: 1.4869) | Val: 0.8525 (Easy: 0.4851, Hard: 1.3163) | LR: 0.001000
=> Epoch 005 | Train: 0.9933 (Easy: 0.5405, Hard: 1.4595) | Val: 0.8448 (Easy: 0.4769, Hard: 1.3079) | LR: 0.001000
=> Epoch 006 | Train: 0.9903 (Easy: 0.5333, Hard: 1.4628) | Val: 0.8439 (Easy: 0.4598, Hard: 1.3289) | LR: 0.001000
=> Epoch 007 | Train: 0.9880 (Easy: 0.5325, Hard: 1.4457) | Val: 0.8307 (Easy: 0.4727, Hard: 1.2868) | LR: 0.001000
=> Epoch 008 | Train: 0.9670 (Easy: 0.5293, Hard: 1.4226) | Val: 0.8283 (Easy: 0.4648, Hard: 1.2918) | LR: 0.001000
=> Epoch 009 | Train: 0.9601 (Easy: 0.5144, Hard: 1.4232) | Val: 0.8210 (Easy: 0.4575, Hard: 1.2847) | LR: 0.001000
=> Epoch 010 | Train: 0.9570 (Easy: 0.5116, Hard: 1.4171) | Val: 0.8154 (Easy: 0.4676, Hard: 1.2627) | LR: 0.001000
=> Epoch 011 | Train: 0.9591 (Easy: 0.5199, Hard: 1.4160) | Val: 0.8093 (Easy: 0.4576, Hard: 1.2580) | LR: 0.001000
=> Epoch 012 | Train: 0.9387 (Easy: 0.5073, Hard: 1.3830) | Val: 0.8070 (Easy: 0.4512, Hard: 1.2646) | LR: 0.001000
=> Epoch 013 | Train: 0.9374 (Easy: 0.5050, Hard: 1.3950) | Val: 0.8032 (Easy: 0.4510, Hard: 1.2586) | LR: 0.001000
=> Epoch 014 | Train: 0.9395 (Easy: 0.5045, Hard: 1.3831) | Val: 0.7982 (Easy: 0.4508, Hard: 1.2458) | LR: 0.001000
=> Epoch 015 | Train: 0.9315 (Easy: 0.5112, Hard: 1.3739) | Val: 0.7934 (Easy: 0.4465, Hard: 1.2420) | LR: 0.001000
=> Epoch 016 | Train: 0.9276 (Easy: 0.4987, Hard: 1.3782) | Val: 0.7968 (Easy: 0.4497, Hard: 1.2439) | LR: 0.001000
=> Epoch 017 | Train: 0.9161 (Easy: 0.4989, Hard: 1.3455) | Val: 0.7945 (Easy: 0.4690, Hard: 1.2181) | LR: 0.001000
