=> Trial Start: ['dir_sim', 'recency', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'exit_dist']
=> Epoch 156 | Train: 0.7370 (Easy: 0.4281, Hard: 1.0389) | Val: 0.6464 (Easy: 0.4058, Hard: 0.9151) | LR: 0.000063
=> Epoch 157 | Train: 0.7322 (Easy: 0.4358, Hard: 1.0191) | Val: 0.6464 (Easy: 0.4059, Hard: 0.9148) | LR: 0.000063
=> Epoch 158 | Train: 0.7333 (Easy: 0.4230, Hard: 1.0382) | Val: 0.6469 (Easy: 0.4061, Hard: 0.9156) | LR: 0.000063
=> Epoch 159 | Train: 0.7371 (Easy: 0.4401, Hard: 1.0397) | Val: 0.6462 (Easy: 0.4051, Hard: 0.9151) | LR: 0.000063
=> Epoch 160 | Train: 0.7327 (Easy: 0.4329, Hard: 1.0326) | Val: 0.6468 (Easy: 0.4049, Hard: 0.9167) | LR: 0.000063
=> Epoch 161 | Train: 0.7199 (Easy: 0.4281, Hard: 1.0048) | Val: 0.6462 (Easy: 0.4053, Hard: 0.9147) | LR: 0.000063
=> Epoch 162 | Train: 0.7312 (Easy: 0.4366, Hard: 1.0245) | Val: 0.6455 (Easy: 0.4064, Hard: 0.9126) | LR: 0.000063
=> Epoch 163 | Train: 0.7327 (Easy: 0.4341, Hard: 1.0267) | Val: 0.6458 (Easy: 0.4066, Hard: 0.9127) | LR: 0.000063
=> Epoch 164 | Train: 0.7353 (Easy: 0.4440, Hard: 1.0208) | Val: 0.6459 (Easy: 0.4054, Hard: 0.9136) | LR: 0.000063
=> Epoch 165 | Train: 0.7299 (Easy: 0.4238, Hard: 1.0355) | Val: 0.6465 (Easy: 0.4060, Hard: 0.9140) | LR: 0.000063
=> Epoch 166 | Train: 0.7325 (Easy: 0.4273, Hard: 1.0349) | Val: 0.6465 (Easy: 0.4067, Hard: 0.9144) | LR: 0.000063
