=> Trial Start: ['dir_sim', 'recency', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'room_area']
=> Epoch 108 | Train: 0.7389 (Easy: 0.4354, Hard: 1.0287) | Val: 0.6708 (Easy: 0.4121, Hard: 0.9553) | LR: 0.000250
=> Epoch 109 | Train: 0.7317 (Easy: 0.4216, Hard: 1.0327) | Val: 0.6699 (Easy: 0.4122, Hard: 0.9544) | LR: 0.000250
=> Epoch 110 | Train: 0.7414 (Easy: 0.4349, Hard: 1.0329) | Val: 0.6653 (Easy: 0.4134, Hard: 0.9454) | LR: 0.000250
=> Epoch 111 | Train: 0.7334 (Easy: 0.4313, Hard: 1.0230) | Val: 0.6624 (Easy: 0.4135, Hard: 0.9385) | LR: 0.000250
=> Epoch 112 | Train: 0.7250 (Easy: 0.4323, Hard: 1.0089) | Val: 0.6647 (Easy: 0.4155, Hard: 0.9412) | LR: 0.000250
=> Epoch 113 | Train: 0.7291 (Easy: 0.4403, Hard: 1.0072) | Val: 0.6636 (Easy: 0.4141, Hard: 0.9401) | LR: 0.000250
=> Epoch 114 | Train: 0.7266 (Easy: 0.4324, Hard: 1.0142) | Val: 0.6606 (Easy: 0.4119, Hard: 0.9353) | LR: 0.000250
=> Epoch 115 | Train: 0.7296 (Easy: 0.4406, Hard: 1.0046) | Val: 0.6587 (Easy: 0.4095, Hard: 0.9334) | LR: 0.000250
=> Epoch 116 | Train: 0.7257 (Easy: 0.4207, Hard: 1.0157) | Val: 0.6620 (Easy: 0.4153, Hard: 0.9361) | LR: 0.000250
=> Epoch 117 | Train: 0.7300 (Easy: 0.4432, Hard: 1.0056) | Val: 0.6640 (Easy: 0.4157, Hard: 0.9392) | LR: 0.000250
=> Epoch 118 | Train: 0.7274 (Easy: 0.4272, Hard: 1.0167) | Val: 0.6675 (Easy: 0.4160, Hard: 0.9488) | LR: 0.000250
=> Epoch 119 | Train: 0.7310 (Easy: 0.4281, Hard: 1.0246) | Val: 0.6601 (Easy: 0.4129, Hard: 0.9364) | LR: 0.000250
=> Epoch 120 | Train: 0.7245 (Easy: 0.4278, Hard: 1.0100) | Val: 0.6661 (Easy: 0.4165, Hard: 0.9453) | LR: 0.000250
=> Epoch 121 | Train: 0.7304 (Easy: 0.4186, Hard: 1.0300) | Val: 0.6630 (Easy: 0.4100, Hard: 0.9441) | LR: 0.000250
=> Epoch 122 | Train: 0.7254 (Easy: 0.4274, Hard: 1.0086) | Val: 0.6630 (Easy: 0.4107, Hard: 0.9437) | LR: 0.000250
=> Epoch 123 | Train: 0.7228 (Easy: 0.4286, Hard: 1.0076) | Val: 0.6657 (Easy: 0.4123, Hard: 0.9492) | LR: 0.000250
=> Epoch 124 | Train: 0.7468 (Easy: 0.4371, Hard: 1.0511) | Val: 0.6673 (Easy: 0.4163, Hard: 0.9473) | LR: 0.000250
=> Epoch 125 | Train: 0.7251 (Easy: 0.4312, Hard: 1.0062) | Val: 0.6672 (Easy: 0.4128, Hard: 0.9498) | LR: 0.000250
=> LR reduced: 0.000250 -> 0.000125
=> Epoch 126 | Train: 0.7358 (Easy: 0.4312, Hard: 1.0398) | Val: 0.6686 (Easy: 0.4154, Hard: 0.9505) | LR: 0.000125
=> Epoch 127 | Train: 0.7238 (Easy: 0.4316, Hard: 1.0103) | Val: 0.6659 (Easy: 0.4145, Hard: 0.9460) | LR: 0.000125
=> Epoch 128 | Train: 0.7161 (Easy: 0.4290, Hard: 0.9917) | Val: 0.6659 (Easy: 0.4133, Hard: 0.9475) | LR: 0.000125
=> Epoch 129 | Train: 0.7338 (Easy: 0.4351, Hard: 1.0324) | Val: 0.6664 (Easy: 0.4163, Hard: 0.9455) | LR: 0.000125
=> Epoch 130 | Train: 0.7133 (Easy: 0.4262, Hard: 0.9893) | Val: 0.6642 (Easy: 0.4127, Hard: 0.9445) | LR: 0.000125
=> Early stopping triggered
=> Final Test Accuracy: 0.7294 | Easy: 0.8510 | Hard: 0.5379

=> Split: 1 | Features: ['dir_sim', 'recency', 'room_area']
=> Epoch 000 | Train: 1.2868 (Easy: 0.8960, Hard: 1.6685) | Val: 0.9300 (Easy: 0.5597, Hard: 1.3909) | LR: 0.001000
