=> Trial Start: ['dir_sim', 'recency', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_stair']
=> Epoch 116 | Train: 0.7513 (Easy: 0.4354, Hard: 1.0666) | Val: 0.6821 (Easy: 0.4182, Hard: 0.9776) | LR: 0.000500
=> Epoch 117 | Train: 0.7580 (Easy: 0.4496, Hard: 1.0729) | Val: 0.6826 (Easy: 0.4210, Hard: 0.9744) | LR: 0.000500
=> Epoch 118 | Train: 0.7596 (Easy: 0.4496, Hard: 1.0698) | Val: 0.6863 (Easy: 0.4143, Hard: 0.9888) | LR: 0.000500
=> Epoch 119 | Train: 0.7454 (Easy: 0.4397, Hard: 1.0543) | Val: 0.6784 (Easy: 0.4156, Hard: 0.9718) | LR: 0.000500
=> Epoch 120 | Train: 0.7524 (Easy: 0.4434, Hard: 1.0622) | Val: 0.6812 (Easy: 0.4154, Hard: 0.9748) | LR: 0.000500
=> Epoch 121 | Train: 0.7574 (Easy: 0.4352, Hard: 1.0730) | Val: 0.6857 (Easy: 0.4144, Hard: 0.9856) | LR: 0.000500
=> Epoch 122 | Train: 0.7634 (Easy: 0.4479, Hard: 1.0780) | Val: 0.6859 (Easy: 0.4192, Hard: 0.9805) | LR: 0.000500
=> Epoch 123 | Train: 0.7540 (Easy: 0.4383, Hard: 1.0675) | Val: 0.6806 (Easy: 0.4182, Hard: 0.9724) | LR: 0.000500
=> Epoch 124 | Train: 0.7598 (Easy: 0.4476, Hard: 1.0734) | Val: 0.6804 (Easy: 0.4082, Hard: 0.9831) | LR: 0.000500
=> Epoch 125 | Train: 0.7529 (Easy: 0.4415, Hard: 1.0615) | Val: 0.6777 (Easy: 0.4124, Hard: 0.9752) | LR: 0.000500
=> Epoch 126 | Train: 0.7614 (Easy: 0.4444, Hard: 1.0814) | Val: 0.6823 (Easy: 0.4120, Hard: 0.9808) | LR: 0.000500
=> Epoch 127 | Train: 0.7550 (Easy: 0.4340, Hard: 1.0756) | Val: 0.6782 (Easy: 0.4216, Hard: 0.9656) | LR: 0.000500
=> Epoch 128 | Train: 0.7610 (Easy: 0.4504, Hard: 1.0684) | Val: 0.6774 (Easy: 0.4176, Hard: 0.9647) | LR: 0.000500
=> Epoch 129 | Train: 0.7555 (Easy: 0.4435, Hard: 1.0693) | Val: 0.6793 (Easy: 0.4204, Hard: 0.9663) | LR: 0.000500
=> Epoch 130 | Train: 0.7530 (Easy: 0.4481, Hard: 1.0581) | Val: 0.6804 (Easy: 0.4191, Hard: 0.9717) | LR: 0.000500
=> Epoch 131 | Train: 0.7513 (Easy: 0.4445, Hard: 1.0599) | Val: 0.6779 (Easy: 0.4171, Hard: 0.9702) | LR: 0.000500
=> Epoch 132 | Train: 0.7488 (Easy: 0.4335, Hard: 1.0644) | Val: 0.6751 (Easy: 0.4151, Hard: 0.9647) | LR: 0.000500
=> Epoch 133 | Train: 0.7414 (Easy: 0.4329, Hard: 1.0433) | Val: 0.6806 (Easy: 0.4130, Hard: 0.9778) | LR: 0.000500
=> Epoch 134 | Train: 0.7558 (Easy: 0.4443, Hard: 1.0661) | Val: 0.6778 (Easy: 0.4142, Hard: 0.9695) | LR: 0.000500
=> Epoch 135 | Train: 0.7476 (Easy: 0.4392, Hard: 1.0517) | Val: 0.6840 (Easy: 0.4209, Hard: 0.9779) | LR: 0.000500
=> Epoch 136 | Train: 0.7545 (Easy: 0.4603, Hard: 1.0479) | Val: 0.6914 (Easy: 0.4291, Hard: 0.9829) | LR: 0.000500
=> Epoch 137 | Train: 0.7523 (Easy: 0.4412, Hard: 1.0622) | Val: 0.6774 (Easy: 0.4084, Hard: 0.9784) | LR: 0.000500
