=> Trial Start: ['dir_sim', 'recency', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'last_node']
=> Epoch 112 | Train: 0.8018 (Easy: 0.4892, Hard: 1.1053) | Val: 0.7104 (Easy: 0.4547, Hard: 0.9884) | LR: 0.001000
=> Epoch 113 | Train: 0.8055 (Easy: 0.4811, Hard: 1.1152) | Val: 0.7059 (Easy: 0.4478, Hard: 0.9834) | LR: 0.001000
=> Epoch 114 | Train: 0.7877 (Easy: 0.4719, Hard: 1.0977) | Val: 0.7188 (Easy: 0.4677, Hard: 0.9921) | LR: 0.001000
=> Epoch 115 | Train: 0.8040 (Easy: 0.4782, Hard: 1.1214) | Val: 0.7032 (Easy: 0.4351, Hard: 0.9986) | LR: 0.001000
=> Epoch 116 | Train: 0.7724 (Easy: 0.4654, Hard: 1.0696) | Val: 0.6980 (Easy: 0.4382, Hard: 0.9815) | LR: 0.001000
=> Epoch 117 | Train: 0.7777 (Easy: 0.4729, Hard: 1.0756) | Val: 0.7007 (Easy: 0.4490, Hard: 0.9787) | LR: 0.001000
=> Epoch 118 | Train: 0.7933 (Easy: 0.4803, Hard: 1.1001) | Val: 0.7112 (Easy: 0.4553, Hard: 0.9943) | LR: 0.001000
=> Epoch 119 | Train: 0.7949 (Easy: 0.4703, Hard: 1.1165) | Val: 0.7009 (Easy: 0.4419, Hard: 0.9887) | LR: 0.001000
=> Epoch 120 | Train: 0.7902 (Easy: 0.4800, Hard: 1.0843) | Val: 0.6984 (Easy: 0.4485, Hard: 0.9775) | LR: 0.001000
=> Epoch 121 | Train: 0.7937 (Easy: 0.4764, Hard: 1.1014) | Val: 0.7017 (Easy: 0.4453, Hard: 0.9866) | LR: 0.001000
=> Epoch 122 | Train: 0.8043 (Easy: 0.4927, Hard: 1.1032) | Val: 0.7134 (Easy: 0.4539, Hard: 0.9965) | LR: 0.001000
=> Epoch 123 | Train: 0.7972 (Easy: 0.4746, Hard: 1.1123) | Val: 0.7053 (Easy: 0.4508, Hard: 0.9842) | LR: 0.001000
=> Epoch 124 | Train: 0.7870 (Easy: 0.4721, Hard: 1.0923) | Val: 0.7116 (Easy: 0.4613, Hard: 0.9809) | LR: 0.001000
=> Epoch 125 | Train: 0.7923 (Easy: 0.4694, Hard: 1.1053) | Val: 0.7129 (Easy: 0.4574, Hard: 0.9918) | LR: 0.001000
